AppID,Genres
20200,Casual
20200,Indie
20200,Sports
655370,Action
655370,Indie
1732930,Action
1732930,Adventure
1732930,Indie
1732930,Strategy
1355720,Adventure
1355720,Casual
1355720,Indie
1139950,Adventure
1139950,Indie
1469160,Adventure
1469160,Casual
1469160,Free to Play
1469160,Massively Multiplayer
1469160,RPG
1469160,Strategy
1659180,Indie
1659180,Strategy
1968760,Casual
1178150,Adventure
1178150,RPG
1178150,Simulation
1178150,Strategy
320150,Action
320150,Adventure
320150,Indie
1026420,Indie
1026420,RPG
485000,Strategy
1620060,Casual
1620060,Indie
825930,Casual
825930,Indie
1454010,Action
1454010,Adventure
1454010,Indie
1454010,RPG
1454010,Strategy
1454010,Early Access
22670,Action
1330820,Action
1330820,Casual
1330820,Simulation
1330820,Sports
346560,Adventure
346560,Casual
346560,Indie
346560,RPG
1097880,Casual
1097880,Indie
1362670,Action
1362670,Adventure
1362670,Casual
1362670,Indie
1362670,Early Access
290870,Indie
290870,Strategy
575760,Action
575760,Adventure
575760,Casual
575760,Indie
434030,Action
434030,Indie
434030,Racing
434030,Simulation
2073470,Massively Multiplayer
2073470,Racing
2073470,Simulation
2073470,Sports
589250,Action
589250,Indie
589250,Simulation
677880,Casual
1294780,Casual
1342850,Casual
1342850,Indie
1342850,Simulation
1342850,Strategy
1177420,Adventure
1177420,Casual
1177420,Indie
1177420,RPG
1177420,Simulation
793990,Casual
793990,Indie
955490,Adventure
955490,Indie
552350,Adventure
552350,Indie
552350,RPG
42500,Action
42500,Indie
1195610,Action
1195610,Strategy
1195610,Early Access
1095380,Casual
1158910,Adventure
1158910,Casual
1158910,Indie
1194940,Indie
1194940,RPG
262150,Action
262150,Casual
262150,Indie
1192900,Action
1192900,Indie
1192900,Early Access
866150,Adventure
866150,Casual
866150,Indie
231330,Action
231330,Adventure
1056520,Indie
897820,Adventure
897820,Indie
897820,RPG
658970,Casual
658970,Free to Play
658970,Indie
658970,Massively Multiplayer
658970,RPG
658970,Simulation
1777550,Action
1777550,Adventure
1777550,Indie
552520,Action
552520,Adventure
718350,Adventure
718350,Casual
718350,Indie
718350,Simulation
